sub_category,product_name,salt_composition,product_price,product_manufactured,medicine_desc,side_effects,drug_interactions
Human Insulin Basal,Human Insulatard 40IU/ml Suspension for Injection,Insulin Isophane (40IU),₹133.93,Novo Nordisk India Pvt Ltd,"Human Insulatard 40IU/ml Suspension for Injection is used to improve blood sugar control in adults and children with type 1 and type 2 diabetes mellitus. It is an intermediate-acting type of insulin that helps to lower blood sugar levels and reduce the chances of developing serious complications of diabetes.Human Insulatard 40IU/ml Suspension for Injection is often prescribed along with short-acting insulin or other oral diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. Don’t stop taking it unless your doctor tells you to. It is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.The most common side effect of this medicine is low blood sugar levels (hypoglycemia). To prevent this, it's important to always inject the correct dose of medicine only, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Repeated puncturing of the same site of the skin may lead to lipodystrophy (skin thickening or pits at the injection site). Some people may gain weight or develop edema (swelling over the whole body due to fluid retention) while taking insulin.Do not use this medicine when you have low blood glucose levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),Weight gain,Edema (swelling)","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Human Insulin Basal,Insulin 40IU/ml Injection,Insulin Isophane (40IU),₹121.91,Sun Pharmaceutical Industries Ltd,"Insulin 40IU/ml Injection is used to improve blood sugar control in adults and children with type 1 and type 2 diabetes mellitus. It is an intermediate-acting type of insulin that helps to lower blood sugar levels and reduce the chances of developing serious complications of diabetes.Insulin 40IU/ml Injection is often prescribed along with short-acting insulin or other oral diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. Don’t stop taking it unless your doctor tells you to. It is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.The most common side effect of this medicine is low blood sugar levels (hypoglycemia). To prevent this, it's important to always inject the correct dose of medicine only, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Repeated puncturing of the same site of the skin may lead to lipodystrophy (skin thickening or pits at the injection site). Some people may gain weight or develop edema (swelling over the whole body due to fluid retention) while taking insulin.Do not use this medicine when you have low blood glucose levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),Weight gain,Edema (swelling)","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Human Insulin Basal,Huminsulin N 40IU/ml Injection,Insulin Isophane (40IU),₹133.45,Eli Lilly and Company India Pvt Ltd,"Huminsulin N 40IU/ml Injection is used to improve blood sugar control in adults and children with type 1 and type 2 diabetes mellitus. It is an intermediate-acting type of insulin that helps to lower blood sugar levels and reduce the chances of developing serious complications of diabetes.Huminsulin N 40IU/ml Injection is often prescribed along with short-acting insulin or other oral diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. Don’t stop taking it unless your doctor tells you to. It is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.The most common side effect of this medicine is low blood sugar levels (hypoglycemia). To prevent this, it's important to always inject the correct dose of medicine only, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Repeated puncturing of the same site of the skin may lead to lipodystrophy (skin thickening or pits at the injection site). Some people may gain weight or develop edema (swelling over the whole body due to fluid retention) while taking insulin.Do not use this medicine when you have low blood glucose levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),Weight gain,Edema (swelling)","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Human Insulin Basal,Insugen-N 40IU/ml Injection,Insulin Isophane (40IU),₹133.36,Biocon,"Insugen-N 40IU/ml Injection is used to improve blood sugar control in adults and children with type 1 and type 2 diabetes mellitus. It is an intermediate-acting type of insulin that helps to lower blood sugar levels and reduce the chances of developing serious complications of diabetes.Insugen-N 40IU/ml Injection is often prescribed along with short-acting insulin or other oral diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. Don’t stop taking it unless your doctor tells you to. It is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.The most common side effect of this medicine is low blood sugar levels (hypoglycemia). To prevent this, it's important to always inject the correct dose of medicine only, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Repeated puncturing of the same site of the skin may lead to lipodystrophy (skin thickening or pits at the injection site). Some people may gain weight or develop edema (swelling over the whole body due to fluid retention) while taking insulin.Do not use this medicine when you have low blood glucose levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),Weight gain,Edema (swelling)","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Human Insulin Basal,Insulatard 100IU/ml Flexpen,Insulin Isophane (100IU/ml),₹401.03,Novo Nordisk India Pvt Ltd,"Insulatard 100IU/ml Flexpen is used to improve blood sugar control in adults and children with type 1 and type 2 diabetes mellitus. It is an intermediate-acting type of insulin that helps to lower blood sugar levels and reduce the chances of developing serious complications of diabetes.Insulatard 100IU/ml Flexpen is often prescribed along with short-acting insulin or other oral diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. Don’t stop taking it unless your doctor tells you to. It is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.The most common side effect of this medicine is low blood sugar levels (hypoglycemia). To prevent this, it's important to always inject the correct dose of medicine only, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Repeated puncturing of the same site of the skin may lead to lipodystrophy (skin thickening or pits at the injection site). Some people may gain weight or develop edema (swelling over the whole body due to fluid retention) while taking insulin.Do not use this medicine when you have low blood glucose levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),Weight gain,Edema (swelling)","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Human Insulin Basal,Huminsulin N 100IU/ml Cartridge,Insulin Isophane (100IU/ml),₹300.9,Eli Lilly and Company India Pvt Ltd,"Huminsulin N 100IU/ml Cartridge is used to improve blood sugar control in adults and children with type 1 and type 2 diabetes mellitus. It is an intermediate-acting type of insulin that helps to lower blood sugar levels and reduce the chances of developing serious complications of diabetes.Huminsulin N 100IU/ml Cartridge is often prescribed along with short-acting insulin or other oral diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. Don’t stop taking it unless your doctor tells you to. It is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.The most common side effect of this medicine is low blood sugar levels (hypoglycemia). To prevent this, it's important to always inject the correct dose of medicine only, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Repeated puncturing of the same site of the skin may lead to lipodystrophy (skin thickening or pits at the injection site). Some people may gain weight or develop edema (swelling over the whole body due to fluid retention) while taking insulin.Do not use this medicine when you have low blood glucose levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),Weight gain,Edema (swelling)","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Human Insulin Basal,Huminsulin N 100IU/ml Injection,Insulin Isophane (100IU),₹416.5,Eli Lilly and Company India Pvt Ltd,"Huminsulin N 100IU/ml Injection is used to improve blood sugar control in adults and children with type 1 and type 2 diabetes mellitus. It is an intermediate-acting type of insulin that helps to lower blood sugar levels and reduce the chances of developing serious complications of diabetes.Huminsulin N 100IU/ml Injection is often prescribed along with short-acting insulin or other oral diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. Don’t stop taking it unless your doctor tells you to. It is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.The most common side effect of this medicine is low blood sugar levels (hypoglycemia). To prevent this, it's important to always inject the correct dose of medicine only, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Repeated puncturing of the same site of the skin may lead to lipodystrophy (skin thickening or pits at the injection site). Some people may gain weight or develop edema (swelling over the whole body due to fluid retention) while taking insulin.Do not use this medicine when you have low blood glucose levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),Weight gain,Edema (swelling)","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Human Insulin Basal,Insulatard HM 100IU/ml Penfill,Insulin Isophane (100IU/ml),₹271.15,Novo Nordisk India Pvt Ltd,"Insulatard HM 100IU/ml Penfill is used to improve blood sugar control in adults and children with type 1 and type 2 diabetes mellitus. It is an intermediate-acting type of insulin that helps to lower blood sugar levels and reduce the chances of developing serious complications of diabetes.Insulatard HM 100IU/ml Penfill is often prescribed along with short-acting insulin or other oral diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. Don’t stop taking it unless your doctor tells you to. It is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.The most common side effect of this medicine is low blood sugar levels (hypoglycemia). To prevent this, it's important to always inject the correct dose of medicine only, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Repeated puncturing of the same site of the skin may lead to lipodystrophy (skin thickening or pits at the injection site). Some people may gain weight or develop edema (swelling over the whole body due to fluid retention) while taking insulin.Do not use this medicine when you have low blood glucose levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),Weight gain,Edema (swelling)","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Human Insulin Basal,Lupisulin N 40IU/ml Injection,Insulin Isophane (40IU),₹133.53,Lupin Ltd,"Lupisulin N 40IU/ml Injection is used to improve blood sugar control in adults and children with type 1 and type 2 diabetes mellitus. It is an intermediate-acting type of insulin that helps to lower blood sugar levels and reduce the chances of developing serious complications of diabetes.Lupisulin N 40IU/ml Injection is often prescribed along with short-acting insulin or other oral diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. Don’t stop taking it unless your doctor tells you to. It is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.The most common side effect of this medicine is low blood sugar levels (hypoglycemia). To prevent this, it's important to always inject the correct dose of medicine only, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Repeated puncturing of the same site of the skin may lead to lipodystrophy (skin thickening or pits at the injection site). Some people may gain weight or develop edema (swelling over the whole body due to fluid retention) while taking insulin.Do not use this medicine when you have low blood glucose levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),Weight gain,Edema (swelling)","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Human Insulin Basal,Insugen-N 100IU/ml Refil Injection,Insulin Isophane (100IU),₹182.25,Biocon,"Insugen-N 100IU/ml Refil Injection is used to improve blood sugar control in adults and children with type 1 and type 2 diabetes mellitus. It is an intermediate-acting type of insulin that helps to lower blood sugar levels and reduce the chances of developing serious complications of diabetes.Insugen-N 100IU/ml Refil Injection is often prescribed along with short-acting insulin or other oral diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. Don’t stop taking it unless your doctor tells you to. It is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.The most common side effect of this medicine is low blood sugar levels (hypoglycemia). To prevent this, it's important to always inject the correct dose of medicine only, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Repeated puncturing of the same site of the skin may lead to lipodystrophy (skin thickening or pits at the injection site). Some people may gain weight or develop edema (swelling over the whole body due to fluid retention) while taking insulin.Do not use this medicine when you have low blood glucose levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),Weight gain,Edema (swelling)","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
